title,authors,date,type,status,url,citation,abstract
Does crop diversity contribute to dietary diversity? evidence from integration of vegetables into maize‑based farming systems,"Rajendran, S.; Afari-Sefa, Victor; Shee, Apurba; Bocher, T.; Bekunda, Mateete A.; Dominick, I.; Lukumay, Philipo J.",2017,Journal Article,Open Access,https://cgspace.cgiar.org/handle/10568/89836,"Rajendran, S., Afari-Sefa, V., Shee, A., Bocher, T., Bekunda, M., Dominick, I. & Lukumay, P.J. (2017). Does crop diversity contribute to dietary diversity? evidence from integration of vegetables into maize-based farming systems. Agriculture & Food Security, 6(50), 1-13.","Background Maize is the most important staple crop for food security and livelihood of smallholder farmers in many parts of sub-Saharan Africa, but it alone cannot ensure food security. Cropping patterns must be diversified to ensure an adequate supply and economic access to greater variety of foods for smallholder farm households. This study measured the effect of crop diversification on household dietary diversity in a selected study locale using a survey of 300 randomly stratified farm households in 10 villages located in the Babati, Kongwa and Kiteto districts of Tanzania. Results Based on multiple regression analysis, the study found that simply increasing Simpson’s Index does not influence dietary diversity of farm households due to the presence of interaction effect between Simpson’s Index and crop income. It is much more critical and significant to increase the revenue generated from diversified crops along with other socioeconomic endowment and behavioral characteristics of farm households. This is particularly applicable to poorer smallholder farmers who receive crop income less than US$85 per sales transaction and per season. Particularly, marginal and smallholders might be exposed to the effects of crop diversification and crop income toward increasing in their household dietary diversity score. Conclusion Under average crop income scenarios, households that diversify their crop production tend to increase their dietary diversity from their existing dietary diversity score at a decreasing rate. However, under below average crop income threshold scenarios, farmers tend to increase their dietary diversity score from their existing score at an increasing rate when they diversify into high-value crops that attract relatively high farm gate values and accrue higher net revenues from the market. Monthly food expenditure also tends to positively influence household dietary diversity, indicating that farm households that spend more on market-purchased food have consistent increases in the their dietary diversity scores at the household level. This study concludes that improving economic access to variety of foods at the smallholder household level by diversifying diets through increased crop diversification should be encouraged within maize-based farming systems of the study locale, through integration of micronutrient-rich foods such as vegetables."
Dietary agrobiodiversity for improved nutrition and health outcomes within a transitioning indigenous Solomon Island food system,"Vogliano, Chris; Raneri, Jessica E.; Coad, Jane; Tutua, Shane; Wham, Carol; Lachat, Carl; Burlingame, Barbara",2021-05-10,Journal Article,Open Access,https://cgspace.cgiar.org/handle/10568/115412,"Vogliano, C.; Raneri, J.E.; Coad, J.; Tutua, S.; Wham, C.; Lachat, C.; Burlingame, B. (2021) Dietary agrobiodiversity for improved nutrition and health outcomes within a transitioning indigenous Solomon Island food system. Food Security 13 p. 819–847. ISSN: 1876-4517","Indigenous food systems of Pacific Small Island Developing Countries contain vast biological and cultural diversity. However, a nutrition transition is underway, characterized by shifts away from traditional diets in favour of imported and modern foods, contributing to some of the highest rates of obesity and Diabetes Type 2 Mellitus in the world. Using a mixed method approach, this study aimed to assess dietary agrobiodiversity’s relationship with nutrition indicators related to diet quality and anthropometrics within the context of the rural and Indigenous food system of Baniata village, located in the Western Province of Solomon Islands (Melanesia). A secondary aim was to evaluate the contribution of agrobiodiversity from the local food system to diet quality. A comprehensive nutrition survey was administered to the women primarily responsible for cooking of randomly selected households (n = 30). Additionally, 14 participatory focus group discussions captured the historical narrative of food system transitions, were hosted over a period of seven days, and included men, women and youth. Dietary intakes of the participants were reported below the estimated average requirement (EAR) for several essential nutrients, including protein (53%), calcium (96.6%), vitamin B1 (86.6%), vitamin B2 (80%), vitamin A (80%), zinc (40%) and fibre (77%). Focus group participants built a timeline of key historical and climatic transitions perceived to be drivers of dietary shifts away from traditional foods and towards imported and processed foods. Participants identified 221 species and varieties of agrobiodiverse foods available for cultivation or wild collection. Based on 24 h diet recalls, 87 were found to be utilised. Participants who consumed foods of a wider diversity of species richness had a higher probability of achieving recommended nutrition intakes and a lower body fat percentage (r2 = 0.205; p = 0.012). Our results suggest a nutrition transition is underway, and strategies harnessing traditional knowledge of nutrient-dense, agrobiodiverse foods can help improve food and nutrition security."
Complementary feeding practices: determinants of dietary diversity and meal frequency among children aged 6–23 months in Southern Benin,"Mitchodigni, I.M.; Hounkpatin, W.A.; Ntandou-Bouzitou, G.D.; Avohou, H.; Termote, Céline; Kennedy, G.; Hounhouigan, D.J.",2017,Journal Article,Open Access,https://cgspace.cgiar.org/handle/10568/89413,"Mitchodigni, I.M.; Hounkpatin, W.A.; Ntandou-Bouzitou, G.; Avohou, H.; Termote, C.; Kennedy, G.; Hounhouigan, D.J. (2017) Complementary feeding practices: determinants of dietary diversity and meal frequency among children aged 6–23 months in Southern Benin. Food Security 9, p. 1117–1130 ISSN: 1876-4517","Poor complementary feeding practices have detrimental effects on child growth, development and survival. This cross-sectional study in rural areas of southern Benin examined some determinants of complementary feeding practices using socioeconomic and dietary data collected among 1225 primary caregivers. Determinants of complementary feeding practices in the study areas are multidimensional and include many interacting factors such as socio-economic aspects, farming practices, household demographics, cultural practices and geography. Child age, diversity of food groups produced, income allocated to feeding, commune of residence, ethnicity, caregivers’ occupation, marital status and household size were identified as the main factors affecting complementary feeding practices. Food group diversification in farm-systems and overall social behavior and support as well as women’s empowerment are necessary to improve children’s diets. Reducing women’s workload through improved working conditions appears crucial to decrease time burdens and allow more time for child care. Multisectoral interventions should be embraced to improve complementary feeding practices in Benin."
Retail diversity for dietary diversity: Resolving food-safety versus nutrition priorities in Hanoi,"Raneri, Jessica E.; Wertheim-Heck, Sigrid C.O.",2019,Journal Article,Open Access,https://cgspace.cgiar.org/handle/10568/103240,"Raneri, J.; Wertheim-Heck, S. (2019) Retail diversity for dietary diversity: Resolving food-safety versus nutrition priorities in Hanoi. In Food environments: Where people meet the food system. UNSCN Nutrition 44 p. 61-69.","Amid rapidly transforming urban food environments, Asia’s cities are faced with the dilemma of ensuring food and nutrition security for their populations while also combatting food-safety concerns. The current food environment in Hanoi, Viet Nam, only provides a minimal level of diet quality for the urban poor. Modernization policies aim to improve food safety by promoting the closure of open-air markets in favour of supermarkets and convenience stores. Traditional open-air markets are the urban population’s main source of food and ensure a healthy diet, but they do not offer formal food-safety guarantees. In contrast, modern retail outlets, such as supermarkets and convenience stores, provide foods with safety guarantees, but are not utilized by the urban poor for myriad reasons, including cultural shopping preferences, habits and convenience (hours of operation, formality, cost and perceived freshness). Though designed to increase the consumption of safe foods in Hanoi, these modern outlets may also stimulate the consumption of unhealthy ultra-processed foods and reinforce food-access inequality. The continued closure of traditional open-air markets in favour of modern retail outlets may be jeopardizing the future diet quality of Hanoi’s urban poor. We recommend that food-safety policies embrace the existing diversity of local food retail systems and identify opportunities to improve food safety at open-air fresh food markets."
Agricultural biodiversity is essential for a sustainable improvement in food and nutrition security,"Frison, Emile A.; Cherfas, J.; Hodgkin, T.",2011,Journal Article,Open Access,https://cgspace.cgiar.org/handle/10568/35784,"Frison, E.; Cherfas, J.; Hodgkin, T. -2011-Agricultural biodiversity is essential for a sustainable improvement in food and nutrition security-Sustainability 3(1)-p.238-253","Agricultural biodiversity has hitherto been valued almost exclusively as a source of traits that can be used in scientific breeding programs to improve the productivity of crop varieties and livestock breeds. We argue that it can make a far greater contribution to increased productivity. In particular, a wider deployment of agricultural biodiversity is an essential component in the sustainable delivery of a more secure food supply. Diversity of kingdoms, species and genepools can increase the productivity of farming systems in a range of growing conditions, and more diverse farming systems are also generally more resilient in the face of perturbations, thus enhancing food security. Diversity can maintain and increase soil fertility and mitigate the impact of pests and diseases. Diversity of diet, founded on diverse farming systems, delivers better nutrition and greater health, with additional benefits for human productivity and livelihoods. Agricultural biodiversity will also be absolutely essential to cope with the predicted impacts of climate change, not simply as a source of traits but as the underpinnings of more resilient farm ecosystems. Many of the benefits of agricultural biodiversity are manifested at different ecological and human scales, and cut across political divisions, requiring a cross-sectoral approach to reassess the role of agricultural biodiversity in sustainable and secure food production."
"Barrier analysis for adequate daily fruit and vegetable consumption among low-income residents of Hanoi, Vietnam and Ibadan, Nigeria","De Filippo, Amanda; Meldrum, Gennifer; Samuel, Folake; Mai, Truong Tuyet; Adeyemi, Olutayo A.; Ngothiha, Phuong; Wertheim-Heck, Sigrid; Talsma, Elise F.; Shittu, Oluyemisi O.; Do, Tran Thanh; Bac, Nguyen H.; Lundy, Mark; Hernandez, Ricardo; Huong, Le Thi; de Brauw, Alan; Brouwer, Inge D.",2021-10-23,Journal Article,Open Access,https://cgspace.cgiar.org/handle/10568/116445,"De Filippo, A.; Meldrum, G.; Samuel, F.; Mai, T.T.; Kennedy, G.; Adeyemi, O.A.; Ngothiha, P.; Wertheim-Heck, S.; Talsma, E.; Shittu, O.O.; Do, T.T.; Bac, N.H.; Lundy, M.; Hernandez, R.; Huong, L.T.; de Brauw, A.; Brouwer, I.D. (2021) Barrier analysis for adequate daily fruit and vegetable consumption among low-income residents of Hanoi, Vietnam and Ibadan, Nigeria. Global Food Security 31: 100586. ISSN: 2211-9124","CGIAR Impact Areas Nutrition, health and food security"
What determines consumption of nutritious foods by the urban poor in Africa?,"Chege, Christine G. Kiria; Namazzi, Stella; Mutua, Mercy M.; Onyango, Kevin; Jäger, Matthias",2021-07-26,Journal Article,Open Access,https://cgspace.cgiar.org/handle/10568/114534,"Chege, C.; Namazzi, S.; Mutua, M.M.; Onyango, K.; Jäger, M. (2021) What determines consumption of nutritious foods by the urban poor in Africa? British Food Journal 124(1) p. 350-365. ISSN: 0007-070X","Malnutrition remains a big public health issue especially in developing countries. The purpose of this paper is to analyze factors that influence consumption of nutrient-rich foods among children aged 6–59 months and women of reproductive age (15–49 years) in the urban informal settlements of Nairobi, Kenya, and Kampala, Uganda. This study uses multicomposite soft porridge as an example of a nutritious product."
Mainstreaming biodiversity for food and nutrition into policies and practice: methodologies and lessons learned from four countries,"Beltrame, Daniela M.O.; Gee, E.; Guner, B.; Lauridsen, Nina Olsen; Samarasinghe, W.L.G.; Wasike, V.; Hunter, D.; Borelli, Teresa",2019,Journal Article,Open Access,https://cgspace.cgiar.org/handle/10568/103827,"Beltrame, D.; Gee, E.; Guner, B.; Lauridsen, N.; Samarasinghe, W.L.G.; Wasike, V.; Hunter, D.; Borelli, T. (2019) Mainstreaming biodiversity for food and nutrition into policies and practice: methodologies and lessons learned from four countries. ANADOLU 29(1) p. 25-38 ISSN: 1300-0225","This paper outlines the methodology for mainstreaming biodiversity developed by the Biodiversity for Food and Nutrition Project (BFN), a multi-country initiative led by Brazil, Kenya, Sri Lanka and Turkey. BFN explored the nutritional properties of traditional and/or neglected native edible species, both wild and cultivated (including varieties and landraces), and used this knowledge to incorporate local agricultural biodiversity into national and global policy instruments that address food and nutrition security through the promotion of healthy, diversified and sustainable diets. Across the four countries, the project adopted a three-pillar approach for mainstreaming biodiversity for food and nutrition into policies and practices by: 1) Providing Evidence, 2) Influencing Policy, and 3) Raising Awareness. Case study examples from Brazil, Kenya, Turkey, and Sri Lanka demonstrate how the approach can be adapted to suit specific country contexts and how a multi-level, cross-sectoral partnership-based approach can create an enabling environment for mainstreaming biodiversity to improve nutrition."
"Agricultural biodiversity as a link between traditional food systems and contemporary development, social integrity and ecological health","Johns, T.; Powell, B.; Maundu, P.; Eyzaguirre, Pablo B.",2013,Journal Article,Limited Access,https://cgspace.cgiar.org/handle/10568/35544,"Johns, T.; Powell, B.; Maundu, P.; Eyzaguirre, P.B. -2013-Agricultural biodiversity as a link between traditional food systems and contemporary development, social integrity and ecological health-Journal of the Science of Food and Agriculture 93(14)- p. 3433-3442","Other CGIAR Affiliations Water, Land and Ecosystems"
The future of smallholder farming in India: Some sustainability considerations,"Bisht, Ishwari Singh; Rana, Jai Chand; Ahlawat, Sudhir Pal",2020-05,Journal Article,Open Access,https://cgspace.cgiar.org/handle/10568/108171,"Bisht, I.S.; Rana, J.C.; Ahlawat, S.P. (2020) The future of smallholder farming in India: Some sustainability considerations. Sustainability 12 24 p. ISSN: 2071-1050","The biodiverse, predominantly crop-livestock mixed-farming in India is key to ensuring resilience to climate change and sustainability of smallholder farming agroecologies. Farmers traditionally grow diverse crops as polyculture, and agriculture is mainly organic/biodynamic with spirituality in food systems deeply ingrained. Job-driven out-migration of rural youths, the family labor force, and globalization of contemporary food choices under corporate industrial agriculture both adversely affect sustainability of traditional farming landscapes and compromise the nutrition and health of rural farming communities. Besides documenting information on general agri-food system policy inputs, our paper presents the results of an exploratory study of four crucial community-level initiatives conducted in four distinct agroecological landscapes of India, aimed at bringing sustainability to traditional farming and food systems. The driving force for fundamental change in agri-food system, and in society, is the question of sustainability. The organic and local food movements are but specific phases of the larger, more fundamental sustainable agri-food movement. While it is very critical to increase farmer livelihood, it is even more important to increase overall rural economy. It was found that four important interventions viz. linking organic agriculture to community-supported agriculture (CSA) initiatives; linking small-holder farming to school meal (MDM) programmes; enhanced market access and value chain development for local agricultural produce; and creation of employment opportunities at community level for rural youths and reducing over-dependence of rural population on agriculture as source of income can make traditional farming more profitable and sustainable. The transition to more sustainable methods of farming by selling the farm produce “locally” helps both consumers and farmers alike and is considered a future strength of smallholder Indian agriculture."
